Player,Dismissal,Runs,Balls,4s,6s,Strikerate
Aaron Johnson,c Kumar b Harmeet Singh,23,16,5,0,143.75
Navneet Dhaliwal,c Jasdeep Singh b Anderson,61,44,6,3,138.63
Pargat Singh,run out (Jasdeep Singh/†Patel),5,7,0,0,71.42
Nicholas Kirton,c Anderson b Ali Khan,51,31,3,2,164.51
Shreyas Movva †,not out,32,16,2,2,200.00
Dilpreet Bajwa,run out (Taylor/†Patel),11,5,1,1,220.00
Dilon Heyliger,not out,1,1,0,0,100.00
Aaron Johnson,c Kumar b Harmeet Singh,23,16,5,0,143.75
Navneet Dhaliwal,c Jasdeep Singh b Anderson,61,44,6,3,138.63
Pargat Singh,run out (Jasdeep Singh/†Patel),5,7,0,0,71.42
Nicholas Kirton,c Anderson b Ali Khan,51,31,3,2,164.51
Shreyas Movva †,not out,32,16,2,2,200.00
Tony Ura,c †Pooran b Shepherd,2,5,0,0,40.00
Assad Vala (c),c Chase b Joseph,21,22,2,1,95.45
Lega Siaka,b Hosein,1,2,0,0,50.00
Sese Bau,b Joseph,50,43,6,1,116.27
Hiri Hiri,c Powell b Motie,2,6,0,0,33.33
Charles Amini,c †Pooran b Russell,12,14,0,0,85.71
Kiplin Doriga †,not out,27,18,3,0,150.00
Chad Soper,b Russell,10,9,1,0,111.11
Alei Nao,run out (Joseph),0,0,0,0,-
Kabua Morea,not out,2,2,0,0,100.00
Tony Ura,c †Pooran b Shepherd,2,5,0,0,40.00
Assad Vala (c),c Chase b Joseph,21,22,2,1,95.45
Lega Siaka,b Hosein,1,2,0,0,50.00
Sese Bau,b Joseph,50,43,6,1,116.27
Hiri Hiri,c Powell b Motie,2,6,0,0,33.33
Charles Amini,c †Pooran b Russell,12,14,0,0,85.71
Kiplin Doriga †,not out,27,18,3,0,150.00
Kashyap Prajapati,lbw b Trumpelmann,0,1,0,0,0.00
Naseem Khushi †,c Erasmus b Trumpelmann,6,6,1,0,100.00
Aqib Ilyas (c),lbw b Trumpelmann,0,1,0,0,0.00
Zeeshan Maqsood,lbw b Scholtz,22,20,4,0,110.00
Khalid Kail,c & b Wiese,34,39,1,1,87.17
Ayaan Khan,c Frylinck b Erasmus,15,21,0,1,71.42
Mohammad Nadeem,lbw b Erasmus,6,10,0,0,60.00
Mehran Khan,lbw b Wiese,7,8,1,0,87.50
Shakeel Ahmed,c Trumpelmann b Wiese,11,9,2,0,122.22
Kaleemullah,lbw b Trumpelmann,2,3,0,0,66.66
Bilal Khan,not out,1,1,0,0,100.00
Kashyap Prajapati,lbw b Trumpelmann,0,1,0,0,0.00
Naseem Khushi †,c Erasmus b Trumpelmann,6,6,1,0,100.00
Aqib Ilyas (c),lbw b Trumpelmann,0,1,0,0,0.00
Zeeshan Maqsood,lbw b Scholtz,22,20,4,0,110.00
Khalid Kail,c & b Wiese,34,39,1,1,87.17
Ayaan Khan,c Frylinck b Erasmus,15,21,0,1,71.42
Mohammad Nadeem,lbw b Erasmus,6,10,0,0,60.00
Mehran Khan,lbw b Wiese,7,8,1,0,87.50
Pathum Nissanka,c Klaasen b Baartman,3,8,0,0,37.50
Kusal Mendis †,c Stubbs b Nortje,19,30,1,0,63.33
Kamindu Mendis,c Hendricks b Nortje,11,15,1,0,73.33
Wanindu Hasaranga (c),st †de Kock b Maharaj,0,2,0,0,0.00
Sadeera Samarawickrama,b Maharaj,0,1,0,0,0.00
Charith Asalanka,c Hendricks b Nortje,6,9,0,0,66.66
Angelo Mathews,c Baartman b Nortje,16,16,0,2,100.00
Dasun Shanaka,b Rabada,9,10,0,1,90.00
Maheesh Theekshana,not out,7,16,1,0,43.75
Matheesha Pathirana,c Markram b Rabada,0,4,0,0,0.00
Nuwan Thushara,run out (Nortje/Jansen),0,4,0,0,0.00
Pathum Nissanka,c Klaasen b Baartman,3,8,0,0,37.50
Kusal Mendis †,c Stubbs b Nortje,19,30,1,0,63.33
Kamindu Mendis,c Hendricks b Nortje,11,15,1,0,73.33
Wanindu Hasaranga (c),st †de Kock b Maharaj,0,2,0,0,0.00
Sadeera Samarawickrama,b Maharaj,0,1,0,0,0.00
Charith Asalanka,c Hendricks b Nortje,6,9,0,0,66.66
Rahmanullah Gurbaz †,c Riazat Ali Shah b Ramjani,76,45,4,4,168.88
Ibrahim Zadran,b Masaba,70,46,9,1,152.17
Najibullah Zadran,c Nakrani b Masaba,2,3,0,0,66.66
Mohammad Nabi,not out,14,16,0,0,87.50
Gulbadin Naib,c Masaba b Kyewuta,4,5,0,0,80.00
Azmatullah Omarzai,c Ramjani b Kyewuta,5,5,0,0,100.00
Rashid Khan (c),not out,2,1,0,0,200.00
Rahmanullah Gurbaz †,c Riazat Ali Shah b Ramjani,76,45,4,4,168.88
Ibrahim Zadran,b Masaba,70,46,9,1,152.17
Najibullah Zadran,c Nakrani b Masaba,2,3,0,0,66.66
Mohammad Nabi,not out,14,16,0,0,87.50
Gulbadin Naib,c Masaba b Kyewuta,4,5,0,0,80.00
Azmatullah Omarzai,c Ramjani b Kyewuta,5,5,0,0,100.00
Rashid Khan (c),not out,2,1,0,0,200.00
Total,20 Ov (RR: 9.15),183/5,,4,2,132.25
George Munsey,not out,41,31,4,2,150.00
Michael Jones,not out,45,30,4,2,132.25
George Munsey,not out,41,31,4,2,150.00
Michael Jones,not out,45,30,1,0,70.00
Total,10 Ov (RR: 9.00),90/0,,1,0,50.00
Kushal Bhurtel,lbw b van Beek,7,10,2,0,91.66
Aasif Sheikh †,c Kingma b Pringle,4,8,5,0,94.59
Anil Sah,c van Beek b Pringle,11,12,1,0,100.00
Rohit Paudel (c),c O'Dowd b Pringle,35,37,0,0,16.66
Kushal Malla,c O'Dowd b van Meekeren,9,9,0,0,0.00
Dipendra Singh Airee,c van Beek b de Leede,1,6,0,1,93.33
Sompal Kami,b van Meekeren,0,5,0,2,141.66
Gulsan Jha,b van Beek,14,15,0,0,0.00
Karan KC,c Kingma b de Leede,17,12,0,0,0.00
Sagar Dhakal,not out,0,1,1,0,70.00
Abinash Bohara,c & b van Beek,0,1,1,0,50.00
Kushal Bhurtel,lbw b van Beek,7,10,2,0,91.66
Aasif Sheikh †,c Kingma b Pringle,4,8,5,0,94.59
Anil Sah,c van Beek b Pringle,11,12,1,0,100.00
Rohit Paudel (c),c O'Dowd b Pringle,35,37,0,0,16.66
Kushal Malla,c O'Dowd b van Meekeren,9,9,1,0,50.00
Dipendra Singh Airee,c van Beek b de Leede,1,6,0,0,33.33
Andy Balbirnie,b Arshdeep Singh,5,10,2,0,76.92
Paul Stirling (c),c †Pant b Arshdeep Singh,2,6,0,0,25.00
Lorcan Tucker †,b Pandya,10,13,1,1,150.00
Harry Tector,c Kohli b Bumrah,4,16,0,0,60.00
Curtis Campher,c †Pant b Pandya,12,8,2,2,185.71
George Dockrell,c Bumrah b Mohammed Siraj,3,5,0,0,150.00
Gareth Delany,run out (Mohammed Siraj/†Pant),26,14,0,0,0.00
Mark Adair,c Dube b Pandya,3,2,2,0,107.69
Barry McCarthy,c & b Patel,0,6,0,0,50.00
Josh Little,b Bumrah,14,13,1,0,50.00
Ben White,not out,2,4,0,0,33.33
Andy Balbirnie,b Arshdeep Singh,5,10,2,0,76.92
Paul Stirling (c),c †Pant b Arshdeep Singh,2,6,0,0,25.00
Lorcan Tucker †,b Pandya,10,13,1,1,150.00
Harry Tector,c Kohli b Bumrah,4,16,0,0,0.00
Curtis Campher,c †Pant b Pandya,12,8,0,0,33.33
Assad Vala (c),lbw b Ramjani,0,2,1,0,55.55
Tony Ura,c Mukasa b Kyewuta,2,6,1,0,70.58
Sese Bau,c Mukasa b Miyagi,5,9,2,0,78.94
Lega Siaka,run out (Kyewuta/†Ssesazi),12,17,0,0,35.71
Hiri Hiri,lbw b Nsubuga,15,19,0,1,60.00
Charles Amini,b Nsubuga,5,14,0,0,36.36
Kiplin Doriga †,lbw b Ramjani,12,20,0,0,50.00
Chad Soper,b Masaba,4,11,0,0,83.33
Norman Vanua,c †Ssesazi b Kyewuta,5,10,0,0,0.00
Alei Nao,b Miyagi,5,6,0,0,0.00
John Kariko,not out,0,2,0,0,33.33
Assad Vala (c),lbw b Ramjani,0,2,1,0,55.55
Tony Ura,c Mukasa b Kyewuta,2,6,1,0,70.58
Sese Bau,c Mukasa b Miyagi,5,9,2,0,78.94
Lega Siaka,run out (Kyewuta/†Ssesazi),12,17,0,0,35.71
Hiri Hiri,lbw b Nsubuga,15,19,0,1,60.00
Charles Amini,b Nsubuga,5,14,0,0,36.36
Kiplin Doriga †,lbw b Ramjani,12,20,0,0,50.00
Chad Soper,b Masaba,4,11,6,1,109.80
Norman Vanua,c †Ssesazi b Kyewuta,5,10,2,0,120.00
David Warner,c Shoaib Khan b Kaleemullah,56,51,2,0,66.66
Travis Head,c Khalid Kail b Bilal Khan,12,10,0,0,0.00
Mitchell Marsh (c),c Shoaib Khan b Mehran Khan,14,21,2,6,186.11
Glenn Maxwell,c Aqib Ilyas b Mehran Khan,0,1,2,0,225.00
Marcus Stoinis,not out,67,36,6,1,109.80
Tim David,run out (Ayaan Khan/†Athavale),9,4,2,0,120.00
David Warner,c Shoaib Khan b Kaleemullah,56,51,2,0,66.66
Travis Head,c Khalid Kail b Bilal Khan,12,10,0,0,0.00
Mitchell Marsh (c),c Shoaib Khan b Mehran Khan,14,21,2,6,186.11
Glenn Maxwell,c Aqib Ilyas b Mehran Khan,0,1,2,0,225.00
Marcus Stoinis,not out,67,36,0,1,112.50
Tim David,run out (Ayaan Khan/†Athavale),9,4,3,2,102.32
Total,20 Ov (RR: 8.20),164/5,,0,0,100.00
Mohammad Rizwan,c Taylor b Netravalkar,9,8,0,1,157.14
Babar Azam (c),lbw b Jasdeep Singh,44,43,1,3,160.00
Usman Khan,c Kumar b Kenjige,3,3,0,0,0.00
Fakhar Zaman,c Taylor b Ali Khan,11,7,3,0,128.57
Shadab Khan,c Netravalkar b Kenjige,40,25,1,2,143.75
Azam Khan †,lbw b Kenjige,0,1,0,0,100.00
Iftikhar Ahmed,lbw b Netravalkar,18,14,0,1,112.50
Shaheen Shah Afridi,not out,23,16,3,2,102.32
Haris Rauf,not out,3,3,0,0,100.00
Mohammad Rizwan,c Taylor b Netravalkar,9,8,0,1,157.14
Babar Azam (c),lbw b Jasdeep Singh,44,43,1,3,160.00
Usman Khan,c Kumar b Kenjige,3,3,0,0,0.00
Fakhar Zaman,c Taylor b Ali Khan,11,7,4,0,166.66
Shadab Khan,c Netravalkar b Kenjige,40,25,2,0,85.71
JP Kotze,c McMullen b Wheal,0,3,5,2,167.74
Nikolaas Davin,c Currie b Sole,20,12,0,0,25.00
Jan Frylinck,b Currie,12,14,1,1,103.70
Gerhard Erasmus (c),st †Cross b Leask,52,31,0,1,107.69
Malan Kruger,c Jones b Greaves,2,8,0,0,50.00
Zane Green †,c Jones b Wheal,28,27,0,1,137.50
David Wiese,c Watt b Wheal,14,13,0,0,150.00
Ruben Trumpelmann,c Wheal b Currie,1,2,0,0,-
JJ Smit,run out (Jones/Wheal),11,8,0,0,0.00
Bernard Scholtz,not out,6,4,4,0,166.66
Tangeni Lungameni,not out,0,0,2,0,85.71
JP Kotze,c McMullen b Wheal,0,3,5,2,167.74
Nikolaas Davin,c Currie b Sole,20,12,0,0,25.00
Jan Frylinck,b Currie,12,14,1,1,103.70
Gerhard Erasmus (c),st †Cross b Leask,52,31,0,1,107.69
Malan Kruger,c Jones b Greaves,2,8,3,0,107.69
Zane Green †,c Jones b Wheal,28,27,1,0,60.00
David Wiese,c Watt b Wheal,14,13,2,0,128.57
Aaron Johnson,c Campher b Young,14,13,1,0,77.77
Navneet Dhaliwal,c Dockrell b Adair,6,10,3,2,140.00
Pargat Singh,c Little b Young,18,14,3,0,102.77
Dilpreet Bajwa,c & b Delany,7,9,0,0,0.00
Nicholas Kirton,c Balbirnie b McCarthy,49,35,0,0,100.00
Shreyas Movva †,run out (McCarthy/†Tucker),37,36,3,0,107.69
Dilon Heyliger,c Little b McCarthy,0,2,1,0,60.00
Saad Bin Zafar (c),not out,1,1,2,0,128.57
Aaron Johnson,c Campher b Young,14,13,1,0,77.77
Navneet Dhaliwal,c Dockrell b Adair,6,10,3,2,140.00
Pargat Singh,c Little b Young,18,14,3,0,102.77
Dilpreet Bajwa,c & b Delany,7,9,0,0,0.00
Nicholas Kirton,c Balbirnie b McCarthy,49,35,0,0,100.00
Shreyas Movva †,run out (McCarthy/†Tucker),37,36,5,5,142.85
Dilon Heyliger,c Little b McCarthy,0,2,3,2,107.31
Saad Bin Zafar (c),not out,1,1,1,2,169.23
Total,20 Ov (RR: 6.85),137/7,,0,0,0.00
Rahmanullah Gurbaz †,b Boult,80,56,1,0,120.00
Ibrahim Zadran,b Henry,44,41,0,0,100.00
Azmatullah Omarzai,c Ferguson b Henry,22,13,0,0,0.00
Mohammad Nabi,c Williamson b Ferguson,0,1,0,0,100.00
Rashid Khan (c),run out (†Conway/Boult),6,5,5,5,142.85
Karim Janat,not out,1,1,3,2,107.31
Gulbadin Naib,c Phillips b Boult,0,2,1,2,169.23
Najibullah Zadran,not out,1,1,0,0,0.00
Rahmanullah Gurbaz †,b Boult,80,56,1,0,120.00
Ibrahim Zadran,b Henry,44,41,0,0,100.00
Azmatullah Omarzai,c Ferguson b Henry,22,13,0,0,0.00
Mohammad Nabi,c Williamson b Ferguson,0,1,0,0,100.00
Rashid Khan (c),run out (†Conway/Boult),6,5,7,1,167.85
Karim Janat,not out,1,1,2,0,125.00
Gulbadin Naib,c Phillips b Boult,0,2,1,0,80.00
Najibullah Zadran,not out,1,1,1,0,80.76
Total,20 Ov (RR: 7.95),159/6,,0,1,90.47
Pathum Nissanka,c Najmul Hossain Shanto b Mustafizur Rahman,47,28,0,0,0.00
Kusal Mendis †,b Taskin Ahmed,10,8,1,0,84.21
Kamindu Mendis,c Tanzim Hasan Sakib b Mustafizur Rahman,4,5,0,0,42.85
Dhananjaya de Silva,st †Litton Das b Rishad Hossain,21,26,0,0,0.00
Charith Asalanka,c Shakib Al Hasan b Rishad Hossain,19,21,0,0,0.00
Wanindu Hasaranga (c),c Soumya Sarkar b Rishad Hossain,0,1,0,0,0.00
Angelo Mathews,c Mustafizur Rahman b Tanzim Hasan Sakib,16,19,7,1,167.85
Dasun Shanaka,c †Litton Das b Taskin Ahmed,3,7,2,0,125.00
Maheesh Theekshana,c Tanzim Hasan Sakib b Mustafizur Rahman,0,3,1,0,80.00
Matheesha Pathirana,not out,0,1,1,0,80.76
Nuwan Thushara,not out,0,1,0,1,90.47
Pathum Nissanka,c Najmul Hossain Shanto b Mustafizur Rahman,47,28,0,0,0.00
Kusal Mendis †,b Taskin Ahmed,10,8,1,0,84.21
Kamindu Mendis,c Tanzim Hasan Sakib b Mustafizur Rahman,4,5,0,0,42.85
Dhananjaya de Silva,st †Litton Das b Rishad Hossain,21,26,0,0,0.00
Charith Asalanka,c Shakib Al Hasan b Rishad Hossain,19,21,0,0,0.00
Wanindu Hasaranga (c),c Soumya Sarkar b Rishad Hossain,0,1,0,0,0.00
Angelo Mathews,c Mustafizur Rahman b Tanzim Hasan Sakib,16,19,0,0,33.33
Dasun Shanaka,c †Litton Das b Taskin Ahmed,3,7,1,0,70.58
Maheesh Theekshana,c Tanzim Hasan Sakib b Mustafizur Rahman,0,3,2,1,88.88
Matheesha Pathirana,not out,0,1,0,0,37.50
Michael Levitt,c †de Kock b Jansen,0,3,0,1,111.11
Max O'Dowd,c Jansen b Baartman,2,6,0,0,0.00
Vikramjit Singh,b Jansen,12,17,3,0,104.54
Sybrand Engelbrecht,c Jansen b Baartman,40,45,0,0,0.00
Bas de Leede,c Miller b Nortje,6,16,0,0,100.00
Scott Edwards (c)†,run out (Markram),10,9,0,0,0.00
Teja Nidamanuru,c Klaasen b Nortje,0,1,0,0,33.33
Logan van Beek,c Nortje b Baartman,23,22,1,0,70.58
Tim Pringle,c Markram b Baartman,0,2,2,1,88.88
Paul van Meekeren,not out,1,1,0,0,37.50
Michael Levitt,c †de Kock b Jansen,0,3,0,1,111.11
Max O'Dowd,c Jansen b Baartman,2,6,0,0,0.00
Vikramjit Singh,b Jansen,12,17,3,0,104.54
Sybrand Engelbrecht,c Jansen b Baartman,40,45,2,3,188.88
Bas de Leede,c Miller b Nortje,6,16,2,4,243.75
Scott Edwards (c)†,run out (Markram),10,9,2,2,140.00
Teja Nidamanuru,c Klaasen b Nortje,0,1,3,1,112.00
Logan van Beek,c Nortje b Baartman,23,22,2,2,176.47
Travis Head,b Archer,34,18,0,1,137.50
David Warner,b Ali,39,16,3,0,170.00
Mitchell Marsh (c),st †Buttler b Livingstone,35,25,0,0,0.00
Glenn Maxwell,c Salt b Rashid,28,25,0,0,-
