Player_Name,Age,Batting_style,Position,Bowling_Style,Image
Rahmanullah Gurbaz,22y 155d,Right hand Bat,Wicketkeeper Batter,Right arm Medium,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Hazratullah Zazai,26y 39d,Left hand Bat,Opening Batter,Slow Left arm Orthodox,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Ibrahim Zadran,22y 141d,Right hand Bat,Opening Batter,Right arm Medium fast,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Mohammad Ishaq,19y 90d,Right hand Bat,Wicketkeeper Batter,None,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Najibullah Zadran,31y 73d,Left hand Bat,Middle order Batter,Right arm Offbreak,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Rashid Khan,25y 224d,Right hand Bat,Bowling Allrounder,Legbreak Googly,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Azmatullah Omarzai,24y 38d,Right hand Bat,Allrounder,Right arm Medium fast,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Gulbadin Naib,32y 332d,Right hand Bat,Batting Allrounder,Right arm Medium fast,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Karim Janat,25y 264d,Right hand Bat,Bowling Allrounder,Right arm Medium,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Mohammad Nabi,39y 121d,Right hand Bat,Allrounder,Right arm Offbreak,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Nangeyalia Kharote,20y 6d,Left hand Bat,Allrounder,Slow Left arm Orthodox,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Fareed Ahmad,29y 265d,Left hand Bat,Bowler,Left arm Fast medium,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Fazalhaq Farooqi,23y 222d,Right hand Bat,Bowler,Left arm Fast medium,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Naveen-ul-Haq,24y 221d,Right hand Bat,Bowler,Right arm Medium fast,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Noor Ahmad,19y 119d,Right hand Bat,Bowler,Left arm Wrist spin,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Mujeeb Ur Rahman,23y 34d,Right hand Bat,Bowler,Right arm Offbreak,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Tim David,28y 46d,Right hand Bat,Middle order Batter,Right arm Offbreak,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Travis Head,30y 124d,Left hand Bat,Top order Batter,Right arm Offbreak,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Josh Inglis,29y 58d,Right hand Bat,Wicketkeeper Batter,None,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Matthew Wade,36y 127d,Left hand Bat,Wicketkeeper Batter,Right arm Medium,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
David Warner,37y 187d,Left hand Bat,Opening Batter,Legbreak,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Mitchell Marsh,32y 194d,Right hand Bat,Allrounder,Right arm Medium,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Cameron Green,24y 333d,Right hand Bat,Batting Allrounder,Right arm Fast medium,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Glenn Maxwell,35y 200d,Right hand Bat,Batting Allrounder,Right arm Offbreak,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Marcus Stoinis,34y 259d,Right hand Bat,Batting Allrounder,Right arm Medium,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Ashton Agar,30y 200d,Left hand Bat,Bowler,Slow Left arm Orthodox,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Pat Cummins,30y 359d,Right hand Bat,Bowler,Right arm Fast,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Nathan Ellis,29y 222d,Right hand Bat,Bowler,Right arm Fast medium,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Josh Hazlewood,33y 114d,Left hand Bat,Bowler,Right arm Fast medium,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Mitchell Starc,34y 92d,Left hand Bat,Bowler,Left arm Fast,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
Adam Zampa,32y 31d,Right hand Bat,Bowler,Legbreak Googly,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg
